Payment Method,Payment Method,
Payment Method:,Payment Method:,
Pending," ""Pending""",
"Pending, Proposal Expired"," ""Pending"," Proposal Expired"""
"Pending, Proposal sent"," ""Pending"," Proposal sent"""
"Pending, Quote Available"," ""Pending"," Quote Available"""
Placed from IP,Placed from IP,
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>",
Please correct the parent block for this block.,Please correct the parent block for this block.,
Please define the PDF object before using.,Please define the PDF object before using.,
Please login to add to Quote.,Please login to add to Quote.,
Please select a customer,Please select a customer,
Please select a store,Please select a store,
Please specify a payment method.,Please specify a payment method.,
Please specify a shipping method.,Please specify a shipping method.,
Please specify quote items.,Please specify quote items.,
postcode," ""Zip/Postal Code""",
Preview quote pdf,Preview quote pdf,
Product Name,Product Name,
Proposal email has been sent,Proposal email has been sent,
Proposal email is not enabled,Proposal email is not enabled,
Proposal Expired,Proposal Expired,
Proposal sent,Proposal sent,
Purchased From,Purchased From,
Quotation # ,Quotation # ,
Quotation Date: ,Quotation Date: ,
Quote # %1 %2 | %3,Quote # %1 %2 | %3,
Quote # %1,Quote # %1,
Quote #,Quote #,
Quote & Account Information,Quote & Account Information,
Quote Adjustment,Quote Adjustment,
Quote adjustment,Quote adjustment,
Quote Available,Quote Available,
Quote Comment,Quote Comment,
Quote Comments,Quote Comments,
Quote convert error: %1,Quote convert error: %1,
Quote Date (%1),Quote Date (%1),
Quote Date,Quote Date,
Quote Details,Quote Details,
Quote Emails,Quote Emails,
Quote History,Quote History,
Quote Information,Quote Information,
Quote Items,Quote Items,
Quote Proposal Accepted Email Reciever,Quote Proposal Accepted Email Reciever,
Quote Proposal Accepted Template,Quote Proposal Accepted Template,
Quote Proposal Accepted,Quote Proposal Accepted,
Quote Proposal Email Sender,Quote Proposal Email Sender,
Quote Proposal Template,Quote Proposal Template,
Quote Proposal,Quote Proposal,
Quote Reduction,Quote Reduction,
Quote Request Email Sender,Quote Request Email Sender,
Quote Request Status,Quote Request Status,
Quote Request Template,Quote Request Template,
Quote Request,Quote Request,
Quote saving error: %1,Quote saving error: %1,
Quote Status,Quote Status,
Quote Total,Quote Total,
Quote Totals,Quote Totals,
Quote View,Quote View,
Quoted Price,Quoted Price,
region_id," ""State/Province""",
Remarks with proposal,Remarks with proposal,
Remarks with Request,Remarks with Request,
Remove Coupon Code,Remove Coupon Code,
Request Point,Request Point,
Request Quote,Request Quote,
Requesting Quote...,Requesting Quote...,
Row Total,Row Total,
See price before order confirmation.,See price before order confirmation.,
Send Quote Email Copy Method,Send Quote Email Copy Method,
Send Quote Email Copy To,Send Quote Email Copy To,
Send Quote Proposal Accepted Email Copy To,Send Quote Proposal Accepted Email Copy To,
Send Quote Proposal Email Copy To,Send Quote Proposal Email Copy To,
Ship to:,Ship to:,
Shipping & Handling (Excl.Tax),Shipping & Handling (Excl.Tax),
Shipping & Handling (Incl.Tax),Shipping & Handling (Incl.Tax),
Shipping & Handling,Shipping & Handling,
Shipping (Excl. Tax),Shipping (Excl. Tax),
Shipping (Incl. Tax),Shipping (Incl. Tax),
Shipping Address,Shipping Address,
Shipping Excl. Tax (%1),Shipping Excl. Tax (%1),
Shipping Incl. Tax (%1),Shipping Incl. Tax (%1),
Shipping Information,Shipping Information,
Shipping Method,Shipping Method,
Shipping Method:,Shipping Method:,
Sold to:,Sold to:,
"Sorry, no quotes are available for this quote.","Sorry, no quotes are available for this quote.",
"Status can't be unassigned, because it is used by existing quote(s).","Status can't be unassigned, because it is used by existing quote(s).",
street," ""Street Address""",
Submit Comment,Submit Comment,
Submit quote,Submit quote,
Subtotal (Excl. Tax),Subtotal (Excl. Tax),
Subtotal (Excl.Tax),Subtotal (Excl.Tax),
Subtotal (Incl. Tax),Subtotal (Incl. Tax),
Subtotal (Incl.Tax),Subtotal (Incl.Tax),
Subtotal Proposal,Subtotal Proposal,
Thank you for your Quote Request from %store_name.,Thank you for your Quote Request from %store_name.,
Thank you for your quote request!,Thank you for your quote request!,
The cart could not be copied to the quote.,The cart could not be copied to the quote.,
The cart is successfully copied to the quote.,The cart is successfully copied to the quote.,
The coupon code has been accepted.,The coupon code has been accepted.,
The customer is notified,The customer is notified,
The last status can't be unassigned from its current state.,The last status can't be unassigned from its current state.,
The order object is not specified.,The order object is not specified.,
The quote confirmation email is not sent,The quote confirmation email is not sent,
The quote confirmation email was sent,The quote confirmation email was sent,
The quote object is not specified.,The quote object is not specified.,
The source object is not specified.,The source object is not specified.,
This customer is not the owner of this Quote,This customer is not the owner of this Quote,
This e-mail is not enabled,This e-mail is not enabled,
"This note is sent to you, because the customer pressed the accept button in the Customer dashboard. The customer still needs to complete the checkout process, before the proposal is fully converted to an order.","This note is sent to you, because the customer pressed the accept button in the Customer dashboard. The customer still needs to complete the checkout process, before the proposal is fully converted to an order.",
This payment method is not available.,This payment method is not available.,
This product does not have any configurable options,This product does not have any configurable options,
This quote no longer exists.,This quote no longer exists.,
To Name,To Name,
"To view all details, edit or accept this proposal visit My Quote in your dashboard by <a href=""%account_url"">logging into your account</a>.","To view all details, edit or accept this proposal visit My Quote in your dashboard by <a href=""%account_url"">logging into your account</a>.",
Total %1 product(s),Total %1 product(s),
Total Shipping Charges,Total Shipping Charges,
Update Items and Quantities,Update Items and Quantities,
Update Quote,Update Quote,
Validation is failed.,Validation is failed.,
View Another Quote,View Another Quote,
View Quote,View Quote,
Visible on Storefront,Visible on Storefront,
Waiting for supplier,Waiting for supplier,
We can't add this item to your quote right now.,We can't add this item to your quote right now.,
We can't find products matching the selection.,We can't find products matching the selection.,
We can't find the quote item.,We can't find the quote item.,
We can't get the quote instance right now.,We can't get the quote instance right now.,
We can't remove the item.,We can't remove the item.,
We can't request the quote.,We can't request the quote.,
We can't send the email for the quote right now.,We can't send the email for the quote right now.,
We can't update the item right now.,We can't update the item right now.,
We can't update the quote.,We can't update the quote.,
We cannot configure the product.,We cannot configure the product.,
We cannot determine the field name.,We cannot determine the field name.,
"We don't recognize the draw line data. Please define the ""lines"" array.","We don't recognize the draw line data. Please define the ""lines"" array.",
We found an invalid renderer model.,We found an invalid renderer model.,
We successfully updated the quote.,We successfully updated the quote.,
We'll email you a quote request confirmation with details.,We'll email you a quote request confirmation with details.,
What's this?,What's this?,
Within the next 48 hours you can expect our proposal.,Within the next 48 hours you can expect our proposal.,
You added %1 to your quote.,You added %1 to your quote.,
"You can check the status of your cancelled Request by <a href=""%account_url"">logging into your account</a>.","You can check the status of your cancelled Request by <a href=""%account_url"">logging into your account</a>.",
"You can check the status of your request by <a href=""%account_url"">logging into your account</a>.","You can check the status of your request by <a href=""%account_url"">logging into your account</a>.",
"You can still accept or edit this quote by <a href=""%account_url"">logging into your account</a>.","You can still accept or edit this quote by <a href=""%account_url"">logging into your account</a>.",
You created the quote.,You created the quote.,
You did not email your customer. Please check your email settings.,You did not email your customer. Please check your email settings.,
You don't need to select a shipping method.,You don't need to select a shipping method.,
You have item changes,You have item changes,
You have no items in your quote.,You have no items in your quote.,
You have no quote requests.,You have no quote requests.,
You sent the quote email.,You sent the quote email.,
You updated the quote.,You updated the quote.,
Your Proposal #%increment_id <small>(placed on %created_at)</small> is accepted by the customer.,Your Proposal #%increment_id <small>(placed on %created_at)</small> is accepted by the customer.,
"Your Quote <span class=""no-link"">#%increment_id</span>","Your Quote <span class=""no-link"">#%increment_id</span>",
Your Quote Request from %store_name with number #%increment_id has been cancelled.,Your Quote Request from %store_name with number #%increment_id has been cancelled.,
Your Quote Request from %store_name with number #%increment_id will expire soon!,Your Quote Request from %store_name with number #%increment_id will expire soon!,
Your Quote Request from %store_name with number #%increment_id will expire today.,Your Quote Request from %store_name with number #%increment_id will expire today.,
Your Quote Request is available.,Your Quote Request is available.,
Your quote request number is: %1.,Your quote request number is: %1.,
Your quote request number is: <span>%1</span>.,Your quote request number is: <span>%1</span>.,
Accepted,Accepted,
Action,Action,
Actions,Actions,
Added,Added,
Adding...,Adding...,
Apply,Apply,
